,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,TrialState.COMPLETE,inf,2019-06-09 18:29:39.334057,2019-06-09 18:29:41.203111,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,,,,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,200.0,2019-06-09 18:29:39.334408,2019-06-09 18:29:45.811712,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,
2,2,TrialState.COMPLETE,inf,2019-06-09 18:29:41.203942,2019-06-09 18:29:42.694410,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,,,,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,200.0,2019-06-09 18:29:42.696243,2019-06-09 18:29:47.072748,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,196.60000610351562,200.0,,,,,,,,,,,,,,,,,
4,4,TrialState.COMPLETE,200.0,2019-06-09 18:29:45.813718,2019-06-09 18:30:05.168781,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
5,5,TrialState.COMPLETE,200.0,2019-06-09 18:29:47.074505,2019-06-09 18:29:56.981714,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,
6,6,TrialState.COMPLETE,200.0,2019-06-09 18:29:56.983683,2019-06-09 18:30:00.181430,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,200.0,,,,,,,,,,,,,,,,,,
7,7,TrialState.COMPLETE,inf,2019-06-09 18:30:00.184051,2019-06-09 18:30:01.999202,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,,,,,,,,,,,,,,,,,,
8,8,TrialState.COMPLETE,198.0,2019-06-09 18:30:02.002077,2019-06-09 18:30:13.621300,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,200.0,200.0,200.0,200.0,200.0,199.39999389648438,200.0,198.0,198.0,,,,,,,,,,
9,9,TrialState.COMPLETE,inf,2019-06-09 18:30:05.171901,2019-06-09 18:30:06.931872,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,,,,,,,,,,,,,,,,,,
10,10,TrialState.COMPLETE,200.0,2019-06-09 18:30:06.935303,2019-06-09 18:30:10.550999,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,200.0,,,,,,,,,,,,,,,,,,
11,11,TrialState.COMPLETE,inf,2019-06-09 18:30:10.554926,2019-06-09 18:30:12.292369,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,,,,,,,,,,,,,,,,,,
12,12,TrialState.COMPLETE,inf,2019-06-09 18:30:12.296445,2019-06-09 18:30:14.366127,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,,,,,,,,,,,,,,,,,,
13,13,TrialState.COMPLETE,200.0,2019-06-09 18:30:13.625028,2019-06-09 18:30:17.794230,64,0.2,2.4547250578515455e-08,0.98,0.8,0.003532823036260786,128,5,13,200.0,200.0,,,,,,,,,,,,,,,,,
14,14,TrialState.COMPLETE,200.0,2019-06-09 18:30:14.370181,2019-06-09 18:30:20.188080,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,
15,15,TrialState.COMPLETE,200.0,2019-06-09 18:30:17.798411,2019-06-09 18:30:22.319747,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,200.0,200.0,,,,,,,,,,,,,,,,,
16,16,TrialState.COMPLETE,200.0,2019-06-09 18:30:20.192636,2019-06-09 18:30:24.487783,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,200.0,200.0,,,,,,,,,,,,,,,,,
17,17,TrialState.COMPLETE,200.0,2019-06-09 18:30:22.324312,2019-06-09 18:30:28.586460,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,
18,18,TrialState.COMPLETE,200.0,2019-06-09 18:30:24.492843,2019-06-09 18:30:29.392763,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,200.0,200.0,,,,,,,,,,,,,,,,,
19,19,TrialState.COMPLETE,inf,2019-06-09 18:30:28.591846,2019-06-09 18:30:30.603727,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,,,,,,,,,,,,,,,,,,
20,20,TrialState.COMPLETE,200.0,2019-06-09 18:30:29.399082,2019-06-09 18:30:35.665177,128,0.3,0.04669206491248252,0.9,0.98,0.00013043921100581486,64,1,20,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,
21,21,TrialState.COMPLETE,inf,2019-06-09 18:30:30.610349,2019-06-09 18:30:32.009874,256,0.2,0.004972613880453016,0.99,0.8,0.00030703278662754413,512,20,21,,,,,,,,,,,,,,,,,,,
22,22,TrialState.COMPLETE,200.0,2019-06-09 18:30:32.016831,2019-06-09 18:30:52.841435,32,0.1,0.0007042407162426875,0.999,1.0,0.25625763237199567,16,5,22,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
23,23,TrialState.COMPLETE,inf,2019-06-09 18:30:35.672354,2019-06-09 18:30:37.665543,64,0.4,9.267985377369853e-06,0.99,0.9,0.016593996576192826,512,20,23,,,,,,,,,,,,,,,,,,,
24,24,TrialState.COMPLETE,inf,2019-06-09 18:30:37.674596,2019-06-09 18:30:39.520505,128,0.2,4.833208996930347e-06,0.999,0.8,0.0002753943473396786,512,10,24,,,,,,,,,,,,,,,,,,,
25,25,TrialState.COMPLETE,inf,2019-06-09 18:30:39.527579,2019-06-09 18:30:41.267390,128,0.2,3.008338034851921e-06,0.99,0.8,2.8964727519363664e-05,2048,30,25,,,,,,,,,,,,,,,,,,,
26,26,TrialState.COMPLETE,200.0,2019-06-09 18:30:41.275197,2019-06-09 18:31:02.347980,64,0.1,9.746469643787671e-08,0.99,1.0,0.0001277360334229857,16,20,26,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
27,27,TrialState.COMPLETE,inf,2019-06-09 18:30:52.850117,2019-06-09 18:30:54.643970,128,0.1,5.030234264555871e-08,0.999,0.92,0.03307066421636088,512,30,27,,,,,,,,,,,,,,,,,,,
28,28,TrialState.COMPLETE,200.0,2019-06-09 18:30:54.652576,2019-06-09 18:30:59.021587,128,0.3,0.01193664839686921,0.999,0.95,5.587808619859331e-05,128,20,28,200.0,200.0,,,,,,,,,,,,,,,,,
29,29,TrialState.COMPLETE,inf,2019-06-09 18:30:59.031377,2019-06-09 18:31:00.845436,64,0.2,0.0044795326983911605,0.999,0.95,0.1737965482009738,2048,20,29,,,,,,,,,,,,,,,,,,,
30,30,TrialState.COMPLETE,200.0,2019-06-09 18:31:00.855039,2019-06-09 18:31:12.052655,256,0.3,1.4955425672127409e-05,0.95,0.98,0.030700388104416016,32,10,30,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,
31,31,TrialState.COMPLETE,inf,2019-06-09 18:31:02.357237,2019-06-09 18:31:03.742551,256,0.4,1.2078099118097927e-08,0.95,0.99,0.19011514361861373,2048,50,31,,,,,,,,,,,,,,,,,,,
32,32,TrialState.COMPLETE,200.0,2019-06-09 18:31:03.752076,2019-06-09 18:31:07.410334,64,0.1,2.400854927063972e-08,0.98,0.8,0.00402886792973921,256,30,32,200.0,,,,,,,,,,,,,,,,,,
33,33,TrialState.COMPLETE,200.0,2019-06-09 18:31:07.422766,2019-06-09 18:31:13.839766,256,0.3,0.04062919863309306,0.999,0.99,0.23597434442609364,64,1,33,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,
34,34,TrialState.RUNNING,200.0,2019-06-09 18:31:12.064050,,64,0.1,2.2521141398482903e-08,0.9,0.8,0.0031632352283122,32,30,34,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,,
35,35,TrialState.COMPLETE,200.0,2019-06-09 18:31:13.849691,2019-06-09 18:31:18.030674,64,0.2,0.00013470069437128174,0.995,0.92,0.004766109491313372,128,5,35,200.0,200.0,,,,,,,,,,,,,,,,,
36,36,TrialState.COMPLETE,inf,2019-06-09 18:31:18.042996,2019-06-09 18:31:19.867853,64,0.1,2.0107174231432454e-07,0.995,0.99,0.00011200018624937378,512,30,36,,,,,,,,,,,,,,,,,,,
37,37,TrialState.RUNNING,200.0,2019-06-09 18:31:19.878583,,64,0.3,3.954294047631311e-08,0.99,1.0,0.025276879377051694,64,5,37,200.0,,,,,,,,,,,,,,,,,,
